Kodak KAI11002,
0.4,0.41074
0.402,0.41367
0.404,0.4166
0.406,0.41953
0.408,0.42246
0.41,0.42546
0.412,0.42885
0.414,0.43223
0.416,0.43562
0.418,0.439
0.42,0.44238
0.422,0.44574
0.424,0.4491
0.426,0.45246
0.428,0.45582
0.43,0.45918
0.432,0.46305
0.434,0.46702
0.436,0.47099
0.438,0.47496
0.44,0.47713
0.442,0.47925
0.444,0.48129
0.446,0.48228
0.448,0.48328
0.45,0.48427
0.452,0.48526
0.454,0.48625
0.456,0.48699
0.458,0.48769
0.46,0.4884
0.462,0.4891
0.464,0.48981
0.466,0.4906
0.468,0.49218
0.47,0.49377
0.472,0.49536
0.474,0.49695
0.476,0.49866
0.478,0.50048
0.48,0.5018
0.482,0.50209
0.484,0.50238
0.486,0.50267
0.488,0.50322
0.49,0.50386
0.492,0.50449
0.494,0.5053
0.496,0.50625
0.498,0.5072
0.5,0.50717
0.502,0.50505
0.504,0.50294
0.506,0.50082
0.508,0.49849
0.51,0.49589
0.512,0.49329
0.514,0.4907
0.516,0.4881
0.518,0.4855
0.52,0.4829
0.522,0.48031
0.524,0.47771
0.526,0.47511
0.528,0.47252
0.53,0.47004
0.532,0.4676
0.534,0.46516
0.536,0.46272
0.538,0.46028
0.54,0.45784
0.542,0.4554
0.544,0.45295
0.546,0.45057
0.548,0.44827
0.55,0.44598
0.552,0.44368
0.554,0.44138
0.556,0.43908
0.558,0.43678
0.56,0.43448
0.562,0.43218
0.564,0.42983
0.566,0.42666
0.568,0.42348
0.57,0.42031
0.572,0.41713
0.574,0.41396
0.576,0.41078
0.578,0.40761
0.58,0.40444
0.582,0.40063
0.584,0.39682
0.586,0.39301
0.588,0.3892
0.59,0.38539
0.592,0.38158
0.594,0.3782
0.596,0.37516
0.598,0.37213
0.6,0.36909
0.602,0.36605
0.604,0.36302
0.606,0.35998
0.608,0.35705
0.61,0.35484
0.612,0.35264
0.614,0.35043
0.616,0.34822
0.618,0.34601
0.62,0.3438
0.622,0.3416
0.624,0.33964
0.626,0.33777
0.628,0.33591
0.63,0.33405
0.632,0.33219
0.634,0.33033
0.636,0.32847
0.638,0.32661
0.64,0.32475
0.642,0.3226
0.644,0.31994
0.646,0.31727
0.648,0.3146
0.65,0.31194
0.652,0.30927
0.654,0.30661
0.656,0.30394
0.658,0.30131
0.66,0.29877
0.662,0.29623
0.664,0.29369
0.666,0.29115
0.668,0.28861
0.67,0.28608
0.672,0.28354
0.674,0.28089
0.676,0.27786
0.678,0.27483
0.68,0.2718
0.682,0.26877
0.684,0.26574
0.686,0.26271
0.688,0.25954
0.69,0.25546
0.692,0.25138
0.694,0.2473
0.696,0.24322
0.698,0.23914
0.7,0.23506
0.702,0.23146
0.704,0.22876
0.706,0.22606
0.708,0.22335
0.71,0.22065
0.712,0.21794
0.714,0.21524
0.716,0.21254
0.718,0.20983
0.72,0.20738
0.722,0.20508
0.724,0.20277
0.726,0.20046
0.728,0.19815
0.73,0.19584
0.732,0.19353
0.734,0.19123
0.736,0.18892
0.738,0.18661
0.74,0.1843
0.742,0.18221
0.744,0.18012
0.746,0.17804
0.748,0.17595
0.75,0.17386
0.752,0.17177
0.754,0.16968
0.756,0.16759
0.758,0.16551
0.76,0.16342
0.762,0.16133
0.764,0.15924
0.766,0.15682
0.768,0.15428
0.77,0.15174
0.772,0.1492
0.774,0.14666
0.776,0.14412
0.778,0.14158
0.78,0.13904
0.782,0.13663
0.784,0.13428
0.786,0.13193
0.788,0.12958
0.79,0.12723
0.792,0.12488
0.794,0.12253
0.796,0.12017
0.798,0.11782
0.8,0.11602
0.802,0.11423
0.804,0.11245
0.806,0.11066
0.808,0.10888
0.81,0.10709
0.812,0.10531
0.814,0.10352
0.816,0.10174
0.818,0.099951
0.82,0.098194
0.822,0.096454
0.824,0.094713
0.826,0.092973
0.828,0.091232
0.83,0.089491
0.832,0.087751
0.834,0.08601
0.836,0.08427
0.838,0.082529
0.84,0.080887
0.842,0.0793
0.844,0.077713
0.846,0.076126
0.848,0.074539
0.85,0.072952
0.852,0.071365
0.854,0.069778
0.856,0.068191
0.858,0.066604
0.86,0.065017
0.862,0.063645
0.864,0.062375
0.866,0.061106
0.868,0.059836
0.87,0.058567
0.872,0.057297
0.874,0.056027
0.876,0.054758
0.878,0.053488
0.88,0.052218
0.882,0.050949
0.884,0.049687
0.886,0.048436
0.888,0.047186
0.89,0.045935
0.892,0.044685
0.894,0.043435
0.896,0.042184
0.898,0.040934
0.9,0.039684
0.902,0.038433
0.904,0.037183
0.906,0.036345
0.908,0.035651
0.91,0.034956
0.912,0.034262
0.914,0.033568
0.916,0.032873
0.918,0.032179
0.92,0.031485
0.922,0.03079
0.924,0.030096
0.926,0.02936
0.928,0.028567
0.93,0.027773
0.932,0.02698
0.934,0.026186
0.936,0.025392
0.938,0.024599
0.94,0.023805
0.942,0.023012
0.944,0.022218
0.946,0.021462
0.948,0.021053
0.95,0.020643
0.952,0.020233
0.954,0.019824
0.956,0.019414
0.958,0.019005
0.96,0.018595
0.962,0.018186
0.964,0.017776
0.966,0.017365
0.968,0.016942
0.97,0.016519
0.972,0.016096
0.974,0.015672
0.976,0.015249
0.978,0.014826
0.98,0.014403
0.982,0.01398
0.984,0.013556
0.986,0.013111
0.988,0.012635
0.99,0.012159
0.992,0.011683
0.994,0.011206
0.996,0.01073
0.998,0.010254
1,0.0097782
