Kodak KAI2093 No Cover Glass with Microlenses,
0.300438596,0.053064929
0.314473684,0.146779463
0.327631579,0.225755648
0.345614035,0.285851717
0.352631579,0.295857568
0.364035088,0.301135356
0.371052632,0.310551585
0.382017544,0.332929538
0.395614035,0.367682916
0.410087719,0.386514266
0.428070175,0.403567882
0.441666667,0.417094845
0.449122807,0.43181657
0.455263158,0.437107657
0.463157895,0.440625443
0.473684211,0.439419599
0.485964912,0.442926302
0.493859649,0.441727107
0.505701754,0.436390578
0.51622807,0.424571526
0.525877193,0.410985822
0.53377193,0.400352665
0.542982456,0.383230334
0.554385965,0.366692084
0.56622807,0.354869707
0.582894737,0.338907779
0.596929825,0.319414766
0.607017544,0.302879841
0.613157895,0.293430362
0.624561404,0.283377961
0.639035088,0.266831953
0.659649123,0.24614307
0.688157895,0.220717256
0.722368421,0.181715713
0.757894737,0.1415316
0.804824561,0.094832822
0.845175439,0.064660102
0.900877193,0.032090101
0.940350877,0.018429032
0.976754386,0.009492703
1.000438596,0.00412625
