Photonis Nocturn QE,
0.401693274,0.48749791
0.406651755,0.497885762
0.412485261,0.507352871
0.418902118,0.51686718
0.425318975,0.524873529
0.431735832,0.530811817
0.438152689,0.537396374
0.444569546,0.545618146
0.450986403,0.55461544
0.45740326,0.564086665
0.463820117,0.573083959
0.470236974,0.58289986
0.476653831,0.591638647
0.483070688,0.599171065
0.489487545,0.604506169
0.495904402,0.609367343
0.502321259,0.616253493
0.508738116,0.622493373
0.515154973,0.628862508
0.52157183,0.634714627
0.527988687,0.637766249
0.534405544,0.638232795
0.540822401,0.637923818
0.547239258,0.636020713
0.553656115,0.633428253
0.560072972,0.630275694
0.566489829,0.625615175
0.572906686,0.620911571
0.579323543,0.616164882
0.5857404,0.610771925
0.592157257,0.605422052
0.598574114,0.600029095
0.604990971,0.595153153
0.611407828,0.590191041
0.617824685,0.584453407
0.624241542,0.577078559
0.630658399,0.568669681
0.637075256,0.560217718
0.643492113,0.552929039
0.64990897,0.546286628
0.656325827,0.539730387
0.662742684,0.533087977
0.669159541,0.526402482
0.675576398,0.519372311
0.681993255,0.511308109
0.688410112,0.501994454
0.694826969,0.492551546
0.701243826,0.483108638
0.707660683,0.473751898
0.71407754,0.464826005
0.720494397,0.456847973
0.726911254,0.450550239
0.733328111,0.444898774
0.739744968,0.438557956
0.746161825,0.430364501
0.752578682,0.421395523
0.758995539,0.411995699
0.765412396,0.402595875
0.771829253,0.393239136
0.77824611,0.383753143
0.784662967,0.373491628
0.791079824,0.363057774
0.797496681,0.352667005
0.803913538,0.343568773
0.810330395,0.334987556
0.816747252,0.325760071
0.822872434,0.316102075
0.828997616,0.30541005
0.835414473,0.295751718
0.84183133,0.286653487
0.848248187,0.280528091
0.854665044,0.274962796
0.861081901,0.266726256
0.867498758,0.257455686
0.873915615,0.248098947
0.880040797,0.238501269
0.885582628,0.228036827
0.890832783,0.218183564
0.896374614,0.207487423
0.90162477,0.196817946
0.906291575,0.186267624
0.911250056,0.175927601
0.916500211,0.165916362
0.922333718,0.155497541
0.928750575,0.147648762
0.935167432,0.140963267
0.941584289,0.134148518
0.948001146,0.126558247
0.954418003,0.11853713
0.96083486,0.109654322
0.966668366,0.099613687
0.972501873,0.090339002
0.97891873,0.080766839
0.985335587,0.072961145
0.991752444,0.065758635
0.998169301,0.059116225
1.004586158,0.052042969
1.011003015,0.04531439
1.017419872,0.03961984
1.023836729,0.034657729
1.030253586,0.02991104
1.036670443,0.025164352
1.0430873,0.021279355
1.049504157,0.018299134
1.055921014,0.015361998
1.062337871,0.013415808
1.068754728,0.012503647
1.075171585,0.011548402
1.07983839,0.011069101
